Year,OHC0-700m,Smoothed OHC0-700m,"Error, 95% CI OHC0-700m",OHC700-2000m,Smoothed OHC700-2000m,"Error, 95% CI OHC700-2000m",OHC0-2000m,Smoothed OHC0-2000m,"Error, 95% CI OHC0-2000m",OHC2000-6000m,Smoothed OHC2000-6000m,"Error, 95% CI OHC2000-6000m"
2006,-1.4174999999999998,-1.535,0.7341666666666667,-1.3891666666666669,-1.425,0.7933333333333333,-2.8049999999999997,-2.9599999999999995,1.0875000000000001,-0.6858333333333334,-0.6983333333333334,0.4875
2007,-2.2358333333333333,-2.0675,0.5941666666666666,-1.1691666666666667,-1.1791666666666667,0.64,-3.4025,-3.2458333333333336,0.8300000000000001,-0.6666666666666666,-0.6516666666666667,0.41583333333333333
2008,-0.995,-1.0033333333333332,0.49,-0.8366666666666668,-0.8233333333333333,0.5783333333333333,-1.8325000000000002,-1.8291666666666666,0.69,-0.4175,-0.4283333333333333,0.35083333333333333
2009,-0.9025,-1.0466666666666666,0.46416666666666667,-0.8791666666666668,-0.9075000000000001,0.49833333333333335,-1.7825,-1.9541666666666666,0.6308333333333334,-0.35333333333333333,-0.3491666666666667,0.28833333333333333
2010,-1.3225,-1.1991666666666667,0.39666666666666667,-0.7875,-0.75,0.3858333333333333,-2.1083333333333334,-1.9483333333333333,0.5083333333333333,-0.1975,-0.19166666666666668,0.20916666666666664
2011,-0.09166666666666667,-0.06666666666666665,0.375,-0.09999999999999999,-0.08916666666666666,0.2866666666666667,-0.19166666666666665,-0.155,0.31,0.022500000000000003,0.016666666666666666,0.14
2012,0.6183333333333333,0.6291666666666667,0.29916666666666664,0.6266666666666667,0.615,0.24916666666666668,1.2466666666666668,1.2425,0.385,0.2325,0.2333333333333333,0.10333333333333333
2013,1.2983333333333333,1.23,0.3025,1.0533333333333335,1.04,0.2325,2.355,2.27,0.3516666666666666,0.4925,0.48500000000000004,0.08750000000000001
2014,1.8691666666666666,2.0383333333333336,0.4116666666666667,1.4858333333333331,1.5141666666666669,0.2966666666666667,3.356666666666667,3.5549999999999997,0.5116666666666667,0.6958333333333333,0.6975000000000001,0.14
2015,3.15,2.910833333333333,0.365,1.9925,1.9583333333333333,0.26416666666666666,5.1450000000000005,4.868333333333333,0.44166666666666665,0.8816666666666667,0.88,0.13
2016,2.6558333333333333,2.9075,0.36000000000000004,2.1341666666666668,2.1683333333333334,0.27666666666666667,4.791666666666667,5.075,0.45333333333333337,0.06666666666666667,1.0583333333333333,0.1425
2017,4.7,4.528333333333333,0.33499999999999996,2.8616666666666664,2.78,0.3025,7.5616666666666665,7.308333333333334,0.42250000000000004,0.20666666666666667,1.2049999999999998,0.14416666666666667
2018,5.054166666666666,5.1450000000000005,0.3425,2.525,2.5966666666666667,0.3,7.580000000000001,7.745,0.45999999999999996,0.4708333333333334,1.4800000000000002,0.14666666666666667
2019,6.425833333333333,6.45,0.3858333333333333,3.0583333333333336,3.0475,0.3133333333333333,9.484166666666667,9.5,0.4675,0.9033333333333333,1.8991666666666667,0.155
2020,6.945,6.970833333333334,0.3983333333333334,3.3608333333333333,3.39,0.29,10.303333333333333,10.363333333333333,0.4475,0.13166666666666668,2.1283333333333334,0.10083333333333333
2021,8.056666666666667,7.988333333333333,0.4366666666666667,4.0200000000000005,3.9683333333333333,0.265,12.076666666666666,11.956666666666665,0.5125000000000001,0.32416666666666666,2.325833333333333,0.10916666666666668
2022,9.560833333333333,9.5375,0.5166666666666667,4.233333333333333,4.24,0.28250000000000003,13.793333333333335,13.776666666666666,0.6224999999999999,0.4816666666666667,2.4908333333333332,0.125
2023,11.165,10.875,0.725,4.149166666666667,4.185,0.32416666666666666,15.315,15.06,0.8675,0.6191666666666666,2.7449999999999997,0.15083333333333335
